"PREC","pop_total","pop_hisp_pct","pop_income","pop_college_pct","VR_total_2020","VR_hisp_pct_2020","VR_turnout_2020","votes_trump_2020","votes_biden_2020","votes_trump_pct_2020","votes_biden_pct_2020","votes_total_2020","VR_total_2016","VR_hisp_pct_2016","VR_turnout_2016","votes_trump_2016","votes_clinton_2016","votes_trump_pct_2016","votes_total_2016","votes_clinton_pct_2016","votes_trump_difference"
"3084",4777,38.224827297467,81473,41.1764705882353,3487,29.8,71.9816461141382,1218,1246,48.5258964143426,49.6414342629482,2510,3160,28.9,63.9873417721519,1066,814,52.7200791295747,2022,40.2571711177052,-4.19418271523206
"1075",7012.60081145909,83.1551865608755,46327.9347860414,11.5957748876183,2428,75,47.6523887973641,316,821,27.3120138288678,70.9593777009507,1157,2125,76.2,40.9882352941177,202,628,23.1917336394948,871,72.1010332950631,4.12028018937293
"2057",5068.33266757769,93.6230738628761,36698.2455209025,5.83881631091314,2353,81,51.891202719932,305,900,24.979524979525,73.7100737100737,1221,2202,83,45.1861943687557,195,745,19.5979899497487,995,74.8743718592965,5.38153502977624
"3040",2974.41432720232,38.2831050228311,95225,36.3119834710744,2170,30.2,75.0691244239631,758,849,46.5316144874156,52.1178637200737,1629,2107,30.7,65.9705742762221,671,610,48.273381294964,1390,43.8848920863309,-1.74176680754844
"3157",3726.05454370869,32.3213403257266,100161.438877151,37.9362089650288,2722,22.3,77.8471711976488,1036,1053,48.8909863142992,49.6932515337423,2119,2720,21.8,69.8161764705882,1020,772,53.7124802527646,1899,40.6529752501316,-4.82149393846542
"1042",1884.22890282874,93.5183246073299,50306,6.37508069722402,1213,90.2,51.1129431162407,170,443,27.4193548387097,71.4516129032258,620,1245,91.4,45.4618473895582,122,433,21.5547703180212,566,76.5017667844523,5.86458452068847
"4046",4083.44616050808,36.5021669229694,50403,29.2088854247857,2669,16.1,69.8763581865867,848,984,45.4691689008043,52.7613941018767,1865,2506,13.6,62.6496408619314,796,660,50.7006369426752,1570,42.0382165605096,-5.23146804187087
"3050",2108.80134680135,53.0853761622992,47381,38.180764774044,1196,19.1,74.9163879598662,432,451,48.2142857142857,50.3348214285714,896,1248,20,65.0641025641026,425,340,52.3399014778325,812,41.871921182266,-4.1256157635468
"3061",4083.44872539039,56.0404554547829,49976.2851711027,24.837944699039,2122,38.1,64.0904806786051,566,768,41.6176470588235,56.4705882352941,1360,2104,35.1,55.1330798479088,499,568,43.0172413793103,1160,48.9655172413793,-1.39959432048681
"3060",2882.97314467225,56.2336984872196,50146,23.9654107473749,2003,31.7,72.4413379930105,621,808,42.7980702963473,55.6857339765679,1451,1941,29.6,64.3997939206594,593,571,47.44,1250,45.68,-4.64192970365265
"3118",1497.63823083207,37.7380045696877,38662,26.4103425117529,1059,19.7,72.2379603399433,343,410,44.8366013071895,53.5947712418301,765,972,21.2,63.477366255144,311,281,50.4051863857374,617,45.5429497568882,-5.5685850785479
"1052",4333.6996243236,89.7520716054791,42039.8598568282,6.27822515921797,2124,76.1,58.7570621468927,381,860,30.5288461538462,68.9102564102564,1248,1970,74.7,48.2233502538071,264,638,27.7894736842105,950,67.1578947368421,2.73937246963563
"1051",4467.38597444958,89.7859257572307,41952,6.26365622723962,2140,73.2,52.803738317757,421,694,37.2566371681416,61.4159292035398,1130,2029,73.6,48.1025135534746,294,642,30.1229508196721,976,65.7786885245902,7.13368634846947
"3063",2918.40979263104,50.1009820689995,78894.6393688956,49.2044765932013,1956,34.2,75.5112474437628,654,807,44.2789438050102,54.637779282329,1477,1874,32.3,67.7161152614728,576,614,45.3900709219858,1269,48.3845547675335,-1.11112711697566
"3159",4748.49690745711,37.7380045696877,38662,26.4103425117529,2614,31.4,57.9954093343535,563,930,37.1372031662269,61.3456464379947,1516,2443,30.4,49.3655341792878,455,669,37.7280265339967,1206,55.4726368159204,-0.590823367769772
"2102",3949.58005866754,63.8254363615165,81234.3265808924,35.0020561080662,2651,43.4,70.7280271595624,783,1075,41.76,57.3333333333333,1875,2575,42.4,63.1844660194175,698,833,42.9010448678549,1627,51.1985248924401,-1.14104486785494
"2110",2231.84194341943,74.7087676272226,49750,23.8495575221239,1282,52.6,64.2745709828393,336,477,40.7766990291262,57.8883495145631,824,1272,52.9,58.7264150943396,301,404,40.2945113788487,747,54.0829986613119,0.482187650277481
"3081",3954.86219081272,51.5742128935532,51069,45.7788347205707,2332,25.4,73.7993138936535,787,900,45.7292271934922,52.295177222545,1721,2218,24.7,66.0504959422904,714,648,48.7372013651877,1465,44.2320819112628,-3.00797417169556
"3080",1787,45.4952434247342,64722,42.0740740740741,1189,25.9,75.946173254836,455,436,50.3875968992248,48.2834994462901,903,1094,24,67.2760511882998,408,294,55.4347826086957,736,39.945652173913,-5.04718570947085
"3082",4771.12056338028,41.4844563438941,71836,24.2444444444444,2560,30.7,71.3671875,853,931,46.6885604816639,50.9578544061303,1827,2428,30.1,60.6260296540362,725,673,49.2527173913043,1472,45.7201086956522,-2.56415690964041
"3120",4764,69.4584382871537,73902,27.8088144009932,3479,32.8,73.7280827824087,1222,1292,47.6413255360624,50.3703703703704,2565,3198,32.6,63.9774859287054,957,939,46.7741935483871,2046,45.8944281524927,0.867131987675286
"3154",2288.10672858617,37.8694725949008,75402.8497081712,44.4138819768359,1726,16.7,77.2885283893395,722,599,54.1229385307346,44.9025487256372,1334,1691,15.4,71.6144293317564,713,400,58.8769611890999,1211,33.0305532617671,-4.75402265836529
"2071",2097.87234042553,93.2058823529412,29667,7.44514106583072,904,88.3,40.1548672566372,93,263,25.6198347107438,72.4517906336088,363,909,89.3,33.5533553355336,43,251,14.0983606557377,305,82.2950819672131,11.5214740550061
"3104",3879.91803921569,35.7542877143857,81148,44.888023369036,2733,21.4,76.326381266008,1078,969,51.6778523489933,46.4525407478428,2086,2641,20.6,69.6705793260129,1006,714,54.6739130434783,1840,38.804347826087,-2.99606069448497
"3085",2007.89473684211,46.1333333333333,52957,42.5614489003881,1291,24.6,74.9031758326878,449,495,46.4322647362978,51.1892450879007,967,1285,24.5,66.6147859922179,429,362,50.1168224299065,856,42.2897196261682,-3.6845576936087
"2078",5687.48002685465,76.2446657183499,66167,20.8072768618533,2680,59.7,61.9402985074627,590,1040,35.5421686746988,62.6506024096386,1660,2447,59.9,53.1262770739681,443,782,34.0769230769231,1300,60.1538461538462,1.46524559777571
"3153",2128.89657787267,37.2105463852154,65275.1926743603,44.5224336003675,1556,22.8,75.5784061696658,574,588,48.8095238095238,50,1176,1596,24.4,68.671679197995,544,487,49.6350364963504,1096,44.4343065693431,-0.825512686826556
"3011",1290.03781368168,46.5214564369311,68033,47.4120082815735,975,27.8,83.3846153846154,379,428,46.6174661746618,52.6445264452644,813,993,27.6,75.4279959718026,391,320,52.2029372496662,749,42.7236315086782,-5.58547107500448
"3006",1482.18414533443,42.0373831775701,84722,50.4820126969198,1098,32.3,79.6903460837887,434,422,49.6,48.2285714285714,875,1067,32.6,74.2268041237113,393,349,49.6212121212121,792,44.0656565656566,-0.0212121212121232
"3166",966.401734104046,42.0373831775701,84722,50.4820126969198,537,37.8,73.9292364990689,165,222,41.5617128463476,55.919395465995,397,511,36.6,66.7318982387476,158,166,46.3343108504399,341,48.6803519061584,-4.77259800409227
"3113",2263.90164457928,56.2154696132597,47165,37.1930567315834,1201,39.6,60.1998334721066,222,475,30.7053941908714,65.6984785615491,723,1107,36.3,51.219512195122,154,358,27.1604938271605,567,63.1393298059965,3.54490036371088
"4174",2854.87969165345,52.4160871660741,62220.9051892314,21.6039843365064,1508,45.9,59.3501326259947,346,530,38.659217877095,59.2178770949721,895,1383,47.2,51.6268980477223,289,378,40.4761904761905,714,52.9411764705882,-1.81697259909551
"2103",483.896446222641,94.6330777656079,35523,13.1079967023908,329,89.1,43.161094224924,32,105,22.5352112676056,73.943661971831,142,321,90,35.202492211838,10,98,8.84955752212389,113,86.7256637168142,13.6856537454817
"3136",653.00184501845,74.7087676272226,49750,23.8495575221239,483,38.7,77.639751552795,172,199,45.8666666666667,53.0666666666667,375,490,36.9,74.4897959183673,172,167,47.1232876712329,365,45.7534246575342,-1.25662100456621
"3013",2988.23513234789,46.5214564369311,68033,47.4120082815735,1908,38.6,72.6939203354298,554,805,39.942321557318,58.0389329488104,1387,1844,36.9,64.0455531453362,500,598,42.3370025402202,1181,50.6350550381033,-2.3946809829022
"3112",3271.79300699301,55.1287290559869,53873,52.6074498567335,1695,38.8,64.2477876106195,353,713,32.415059687787,65.4729109274564,1089,1496,35.4,56.3502673796791,309,465,36.6548042704626,843,55.1601423487544,-4.23974458267567
"3071",4252.09835542073,56.2154696132597,47165,37.1930567315834,2676,39.3,67.9372197309417,693,1096,38.1188118811881,60.2860286028603,1818,2548,37,63.3830455259027,642,867,39.7523219814241,1615,53.6842105263158,-1.63351010023602
"2021",6654.0275957672,94.8433185278851,44788.9757741348,4.94306875508036,2874,87.2,48.3298538622129,306,1053,22.0302375809935,75.8099352051836,1389,2672,89.3,40.6062874251497,160,888,14.7465437788018,1085,81.8433179723502,7.28369380219168
"2025",4900.77348066298,90.9494949494949,38199,11.6046293400063,2506,75.9,63.0885873902634,383,1177,24.225173940544,74.4465528146743,1581,2394,77,51.796157059315,268,911,21.6129032258065,1240,73.4677419354839,2.61227071473751
"3140",702.716180371353,57.1548821548822,45111,34.2488262910798,414,56.3,65.4589371980676,88,176,32.4723247232472,64.9446494464945,271,397,53.7,61.2090680100756,85,136,34.9794238683128,243,55.9670781893004,-2.50709914506552
"1085",4479.91440117779,86.3709670742964,35454.2895622896,6.36008472090159,1811,67.4,50.9663169519602,271,635,29.3607800650054,68.7973997833153,923,1675,66.4,45.3731343283582,210,517,27.6315789473684,760,68.0263157894737,1.72920111763699
"3023",4208.33716992671,57.1105100253354,73677.5255712731,35.0381750066662,2554,42.1,70.007830853563,699,1050,39.0939597315436,58.7248322147651,1788,2463,40.4,59.886317498985,573,790,38.8474576271186,1475,53.5593220338983,0.246502104424984
"3109",5025.05363347938,55.3140916808149,53552,23.6382322713258,3382,47,62.8326434062685,878,1208,41.3176470588235,56.8470588235294,2125,3188,46.1,54.077791718946,667,942,38.6890951276102,1724,54.6403712296984,2.62855193121332
